date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:39	285/285	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Nov%202022%2015:43:30%20GMT	http://sim.ciptakarya.pu.go.id/robots.txt		(from )
20:05:39	63350/63350	---M-Z	200	added ('OK')	text/html	etag:%22f776-5ed6ac65d5f5a-gzip%22	http://sim.ciptakarya.pu.go.id/psk/	C:/Users/KPC_COMPUTER/Desktop/Landing%20Page%20Slot/sim.ciptakarya.pu.go.id/psk/index.html	(from )
20:05:40	16046/16046	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2007:39:12%20GMT	https://i.ibb.co/61s9MRq/logoslotgacor.png	C:/Users/KPC_COMPUTER/Desktop/Landing%20Page%20Slot/i.ibb.co/61s9MRq/logoslotgacor.png	(from http://sim.ciptakarya.pu.go.id/psk/)
20:05:41	282619/282619	---M--	200	added ('OK')	text/javascript	etag:%228c5dc74afc4fee5e%22	https://cdn.ampproject.org/v0.js	C:/Users/KPC_COMPUTER/Desktop/Landing%20Page%20Slot/cdn.ampproject.org/v0.js	(from http://sim.ciptakarya.pu.go.id/psk/)
20:05:42	139498/139498	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202022%2007:40:50%20GMT	https://i.ibb.co/8KzMS17/slot-gacor.jpg	C:/Users/KPC_COMPUTER/Desktop/Landing%20Page%20Slot/i.ibb.co/8KzMS17/slot-gacor.jpg	(from http://sim.ciptakarya.pu.go.id/psk/)
20:05:42	38762/38762	---M--	200	added ('OK')	text/javascript	etag:%223f0ce8fd8e852acf%22	https://cdn.ampproject.org/v0/amp-carousel-0.1.js	C:/Users/KPC_COMPUTER/Desktop/Landing%20Page%20Slot/cdn.ampproject.org/v0/amp-carousel-0.1.js	(from http://sim.ciptakarya.pu.go.id/psk/)
20:05:42	9345/9345	---M--	200	added ('OK')	text/javascript	etag:%2297000fb0b3a271cd%22	https://cdn.ampproject.org/v0/amp-install-serviceworker-0.1.js	C:/Users/KPC_COMPUTER/Desktop/Landing%20Page%20Slot/cdn.ampproject.org/v0/amp-install-serviceworker-0.1.js	(from http://sim.ciptakarya.pu.go.id/psk/)
20:05:42	36397/36397	---M--	200	added ('OK')	text/javascript	etag:%224d1b17a66f0bc9ab%22	https://cdn.ampproject.org/v0/amp-youtube-0.1.js	C:/Users/KPC_COMPUTER/Desktop/Landing%20Page%20Slot/cdn.ampproject.org/v0/amp-youtube-0.1.js	(from http://sim.ciptakarya.pu.go.id/psk/)
20:05:43	17669/17669	---M--	200	added ('OK')	text/javascript	etag:%227a56f11f5c354c2c%22	https://cdn.ampproject.org/v0/amp-accordion-0.1.js	C:/Users/KPC_COMPUTER/Desktop/Landing%20Page%20Slot/cdn.ampproject.org/v0/amp-accordion-0.1.js	(from http://sim.ciptakarya.pu.go.id/psk/)
20:05:44	101886/101886	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jun%202022%2010:42:32%20GMT	https://i.ibb.co/Z2CMyC7/slot-gacor.png	C:/Users/KPC_COMPUTER/Desktop/Landing%20Page%20Slot/i.ibb.co/Z2CMyC7/slot-gacor.png	(from http://sim.ciptakarya.pu.go.id/psk/)
20:05:45	1434205/1434205	---M--	200	added ('OK')	image/gif	date:Thu,%2002%20Jun%202022%2005:02:16%20GMT	https://i.ibb.co/PwdFtqZ/eb5335-27fa79b9800f461d91d3dcb74621cea2-mv2.gif	C:/Users/KPC_COMPUTER/Desktop/Landing%20Page%20Slot/i.ibb.co/PwdFtqZ/eb5335-27fa79b9800f461d91d3dcb74621cea2-mv2.gif	(from http://sim.ciptakarya.pu.go.id/psk/)
